year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2007,05,0,m,12143,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2007,05,0,m,13891,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2007,05,0,m,4703,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2007,05,0,m,2495,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2007,05,0,m,3167,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2007,05,0,m,5687,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2007,05,0,m,3090,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2007,05,0,m,9261,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2007,05,0,m,2286,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2007,05,0,m,2733,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2007,05,0,m,3949,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2007,05,0,m,2960,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2007,05,0,m,3281,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2007,05,0,m,12528,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2007,05,0,m,2639,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,0,m,2201,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,0,m,2066,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2007,05,0,m,2827,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2007,05,0,m,4805,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2007,05,0,m,2025,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2007,05,0,m,3297,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
